Business_Name,Owner_Name,Reported_Revenue,Employees_Reported,Taxes_Paid,Filing_Status
Sunrise Cafe 19,Jane Davis,1759038,44,86472,Filed
QuickFix Auto 83,Robert Smith,748580,50,37169,Under Review
Silver State Contractors 14,David Brown,1980432,41,31402,Under Review
Sunrise Cafe 11,Jessica Garcia,1133602,83,29300,Not Filed
Sunrise Cafe 69,Laura Williams,521348,63,157015,Not Filed
Silver State Contractors 36,Sarah Miller,1286003,47,198136,Filed
Elite Consulting 42,Jessica Garcia,711810,2,100630,Under Review
Sunrise Cafe 38,Laura Davis,1666187,2,170404,Under Review
Vegas Retail Hub 14,David Johnson,490092,27,120615,Under Review
QuickFix Auto 24,Michael Brown,69603,36,67275,Filed
QuickFix Auto 16,Michael Davis,1299134,50,124190,Under Review
Sunrise Cafe 5,Sarah Garcia,1302035,53,144045,Not Filed
Elite Consulting 16,Robert Davis,364070,11,86987,Filed
Elite Consulting 62,Michael Martinez,1300847,55,44626,Not Filed
Vegas Retail Hub 20,Jessica Davis,1675661,48,181408,Filed
Silver State Contractors 10,Daniel Brown,693524,54,72849,Under Review
Vegas Retail Hub 63,Emily Jones,1425151,94,66712,Filed
Elite Consulting 66,Jane Garcia,416263,70,111802,Under Review
Silver State Contractors 93,Robert Johnson,81385,11,177909,Under Review
Silver State Contractors 57,David Garcia,569169,28,40855,Filed
Vegas Retail Hub 9,David Jones,1203276,40,43370,Not Filed
Vegas Retail Hub 47,Sarah Davis,1018960,94,98625,Filed
Sunrise Cafe 19,Emily Hernandez,1364007,73,118368,Under Review
Elite Consulting 69,Emily Smith,1158129,34,50283,Filed
Elite Consulting 30,Jane Jones,960970,70,115942,Not Filed
Sunrise Cafe 86,Robert Hernandez,1357036,56,127445,Under Review
Silver State Contractors 58,Robert Johnson,1969025,25,40312,Not Filed
Sunrise Cafe 48,John Davis,1678400,34,98211,Not Filed
Sunrise Cafe 54,Jessica Smith,457067,75,112212,Filed
Vegas Retail Hub 75,John Miller,1724241,8,45008,Filed
Silver State Contractors 92,Sarah Johnson,902261,93,49323,Under Review
Sunrise Cafe 8,Laura Williams,1439944,14,95615,Filed
Elite Consulting 88,Jessica Johnson,1602343,61,46048,Filed
Sunrise Cafe 82,David Smith,1955127,10,58145,Not Filed
Vegas Retail Hub 82,Jane Williams,1485738,63,8275,Under Review
Vegas Retail Hub 87,Laura Brown,893913,1,32639,Filed
Sunrise Cafe 83,Robert Williams,1563791,93,38717,Under Review
Elite Consulting 10,Jane Johnson,990504,95,14994,Under Review
QuickFix Auto 96,Sarah Smith,499652,39,176668,Not Filed
Silver State Contractors 29,Jessica Davis,430718,53,59514,Not Filed
Sunrise Cafe 11,Jessica Brown,1176037,60,11164,Filed
Sunrise Cafe 84,Daniel Williams,1734099,36,38459,Not Filed
Sunrise Cafe 27,Sarah Miller,105695,2,53435,Filed
Elite Consulting 47,Emily Johnson,1609916,54,96133,Under Review
Silver State Contractors 80,Emily Williams,918687,92,188100,Not Filed
Vegas Retail Hub 76,Emily Williams,878474,12,172545,Filed
Silver State Contractors 21,David Miller,1998193,81,62964,Filed
Silver State Contractors 70,John Williams,1550771,86,75268,Filed
QuickFix Auto 48,Jessica Garcia,561894,99,41532,Under Review
Elite Consulting 3,Sarah Brown,1754138,91,53851,Filed
Sunrise Cafe 17,John Davis,1512093,98,87443,Filed
QuickFix Auto 2,Robert Davis,1252359,15,6127,Under Review
Sunrise Cafe 39,Jessica Davis,152322,70,167472,Not Filed
Elite Consulting 87,John Martinez,730332,41,130441,Not Filed
Vegas Retail Hub 37,Michael Brown,1895405,19,108182,Not Filed
Sunrise Cafe 59,Sarah Williams,698937,33,65500,Filed
QuickFix Auto 57,Laura Brown,1145955,25,92727,Under Review
Sunrise Cafe 66,Michael Martinez,1913139,53,87204,Not Filed
Vegas Retail Hub 100,John Hernandez,1424432,34,74167,Under Review
QuickFix Auto 35,Michael Garcia,492523,27,193487,Filed
Silver State Contractors 63,Jane Miller,1812516,53,172072,Under Review
QuickFix Auto 24,Jane Williams,1340696,99,97435,Under Review
QuickFix Auto 10,Robert Garcia,1068478,53,138254,Not Filed
Silver State Contractors 46,Jane Martinez,933359,100,122809,Not Filed
Silver State Contractors 4,Jane Jones,181131,21,82819,Under Review
Vegas Retail Hub 86,Sarah Miller,1250020,25,76467,Filed
Silver State Contractors 16,John Davis,1810171,84,28002,Under Review
Elite Consulting 50,Laura Miller,97535,87,24866,Under Review
QuickFix Auto 31,David Davis,1237967,98,152151,Not Filed
Sunrise Cafe 61,Jane Davis,420897,44,111147,Filed
QuickFix Auto 46,Laura Martinez,851917,84,65467,Filed
